reviewer,date,link,text
Ian Longstaff,2025-08-18,https://www.trustpilot.com/reviews/68a34959c55d19db1b8243ce,"I’m very disappointed with this group
I got a lawyers letter through this morning which I have been asked to pay for damage to the car I hired from the 29/05/2025 to the 02/06/2025.i never got anything back from them regarding this and as far I knew everything was ok.
I since tried to call the lawyers and was on the phone for 1.5 hours to get someone. I gave up on that and called the head office of Europcar to discuss the matter. The woman name was lynne who insisted that they had sent a email for recovery of damage. I then checked my junk mail and found 2 emails from Europcar. One was the invoice from them on the 04/06/2025 saying the car was ok and the deposit would be returned
Which it was by Europcar.

Then on the the 23/06/2025 I have another email regarding the damage to the car ( which was a flat tyre and I picture of the tyre with the nail in it.
3 weeks after the so called nail was in the tyre they contact me to inform me that I must of done it and they were going to charge me for the time it was off the road a new tyre and admin fees of 251.64. Something I did not know about til now.
I know I checked the car out and it did not have a puncture as I checked all aspects at of it with a friend who assisted me in the process. At no point was the car damaged or anything wrong with it.
How can this company say the car was ok and issue an invoice on the 4th June 2025 and then 3 weeks later decide that the car had a puncture and decide to send me a bill.
They must of done this when driving the car round the car park or someone else who hired it and the only person they could blame was the last person who drove it. This is wrong on all levels and I will contest it as it looks like they are blaming anyone they can. Absolute disgrace from Europcar and as a company I used to use regularly I won’t be using again and I will tell anyone who is using this company do not use them as they are not true to there words of being a good company who cares about the drivers."
John Collis,2025-08-18,https://www.trustpilot.com/reviews/68a345fe7077f94acb22b47b,I received a request for payment for damage present when I RECEIVED the vehicle. Europcar are continuing to pursue the payment. I have photographic evidence with date stamps on the photographs.
Shereene,2025-08-18,https://www.trustpilot.com/reviews/68a343a0a294ee6985022d8e,"Booking No. 1192827246 – Terrible Experience

If I could rate this company 0 stars, I would. Europcar is a scam company that happily takes money from customers but doesn’t provide the car you booked. They confirmed my reservation and took my payment without doing the necessary checks. I travelled all the way to London City Airport, only to be told I couldn’t collect the car.

This company wastes people’s time and money, and it feels like they take bookings just to hold customers’ money for their own interest. Disgraceful service, no accountability, and a complete scam. Avoid Europcar at all costs."
James Brodie,2025-08-18,https://www.trustpilot.com/reviews/68a32a9761ad76f9fa47055e,"I receive a hire car after an accident. It was a Volvo XC60. I get the car, drive to the supermarket, comeback and the car is dead. Bearing in mind I am due to go on a family holiday in a couple of hours.
I can’t get in touch with Birmingham Newtown branch. I manually manage to open the key fob and the limp the car to the branch who swap it over.
So I have had to return an unsafe car. When it comes to pick up the car after chasing me despite me telling them that it will be returned when my repairs are done they can’t be bothered to pick up the car and I have to wait again for them to pick them up.
I return the car will a full tank and the engineer marks
The paper work to reflect that. I then get just under £20 taken out of my account being told the tank wasn’t full.
I have sent them their own paperwork and have asked for a refund. I spoke to monosyllabic customer service agent who didn’t initially understand the issue. The whole experience has been shocking. Truly truly awful experience. I am now chasing my refund as a point of princible."
Flore Gardner,2025-08-18,https://www.trustpilot.com/reviews/68a2f19e7936cf814566609e,"Crooks!
They told me at the rental desk that I could bring the fuel tank back at any level and they would fill it up at cost price for no extra charge.
2 days after I had returned the car with 7/8 full tank, they charged me £67!!
No responses to emails sent to complain, and unable to do anything on the phone.
DO NOT USE EUROPCAR"
ian mellor,2025-08-18,https://www.trustpilot.com/reviews/68a2e8e6348b4aa53dd9d3ec,"Daylight Robbery. Had to cancel my booking from Inverness Airport branch as my flight was cancelled . I foolishly hadn't checked every square millimetre of the website to find the 'refundable booking' button when I made the reservation so got charged the full value of the booking (£748.00) which included all the insurance waivers, extra driver even though clearly never used, surprised they didn't charge me for some fuel as well! In the end, we had to hire a car in Huntingdon and drive up to Scotland, and as Europcar had said they would refund me the full amount and didn't have a branch in Huntingdon, we used Enterprise - brilliant service, better car and cost £50 less anyway despite being a one-way hire with unlimited mileage. Will never use Europcar, ever."
Stephen,2025-08-17,https://www.trustpilot.com/reviews/68a1fb6daedae13a4779b81b,"Scammers, extremely shady outfit.

I picked up my car in Johannesburg and they tried to give me a car without a damage report, telling me “it will be fine”.

Upon checking the car it had clearly been in some form of accident. It took an hour of refusing to take the car without damage report for them to finally say they would bring me a new car at my address later, but that I should take this one for now (I assume they then would have said the car was damaged by in the time between me taking it and them brining the new one).

Travelling with a newborn, this was stressful and they eventually brought me a new car with a damage report and assured me that I had the maximum insurance. Unfortunately this was not the case as I was hit by a driver running a red light and Europcar took £2000 from me.

Be careful, these guys are extremely shady."
Mario Cabrera García,2025-08-17,https://www.trustpilot.com/reviews/68a1040b815e27bed483d75f,"I’m renting with them regular for few months and today I can’t rented because my credit score filed,rubbish company and very expensive I didn’t recommend …!"
mostafa pourabas,2025-08-16,https://www.trustpilot.com/reviews/68a0af79bbb6d89baa7f7c79,"Worst rental company in world
We book a car and hotel every thing
And when we went to collect the car they said we don’t have any car
We only have 8 car that booked for others
And even they didn’t offer any replacement car in other branch’s
When called cuz service they said if you pay £40 extra we can book you a car in another branch"
Saskia,2025-08-15,https://www.trustpilot.com/reviews/689f400ded27406eb6fbaca2,"Classic case of should have read this before we booked.
Complete shambles from start to finish.
Tried to add a booster seatto our booking, which wasn't possible. Tried to reach customer service which was impossible.
When we collected the car, they wanted 100€ for a booster seat. Even in Switzerland it costs about 15€ to buy one (which we did!).
They then told us we needed a Vignette to drive in Switzerland (another 40 CHF). When we tried to buy one online it transpired the car already had one (of course it did, they are valid for a year). The police confirmed when we asked.
Why oh why would you make your customers' lives more difficult?
Terrible terrible service, and I will not use them ever again."
kyle connor,2025-08-15,https://www.trustpilot.com/reviews/689ee6dace03075cf7021b4a,"Truly awful service for disabled customers – avoid if you can

If you are disabled and rely on Motability, avoid Europa Car Belfast at all costs. Unfortunately, they have the contract with Motability for hire cars if your vehicle breaks down – but that “service” is virtually non-existent.

They rarely answer the phone, and when they finally do, they lie. I was told a car would be ready for me in 2 days. That never happened. A week later, I still have no car, no update, and no way of knowing when (or if) I’ll get one.

I am disabled and live in a remote area with no access to shops or medical appointments without a vehicle. This delay has left me completely stranded and put my health at risk. The lack of care or urgency for a disabled customer’s needs is absolutely shocking.

Europa Car Belfast have shown themselves to be unreliable, dishonest, and completely unsympathetic to the needs of vulnerable people. If you have any other option, take it – because you cannot count on them."
Gail Wright,2025-08-15,https://www.trustpilot.com/reviews/689ee61c30a155d8c1059af8,"Hired a car from the Gloucestershire branch, when asked if I needed to know anything about driving in the UK all I was told you drive on the same side of the road as in Australia. I returned the vehicle some 25 hours before the due date and time and never received a refund. Upon my return to Australia I received an email and infringement notice to say I drove in the coach lane at Manchester Airport for 34 seconds. I paid this fine and also received a further invoice of 45 UK pound for Europcar for passing on the original fine. When I questioned this I received an email to say my query was being investigated and I would be notified soon. I did not received a refund for the early return of the car and I advised Europecar UK to use that money to cover the cost of typing my email address to cover the costs of passing on the infringement fine. Europcar UK charged my credit card without my knowledge for the said 45 UK pound. To use my credit card without my authorization is criminal and I believe this to be corporate fraud. I am still await the 'outcome' of Europcar UK investigation. Would NOT recommend Europcar UK to any future hirers."
Philip Sandbach,2025-08-14,https://www.trustpilot.com/reviews/689de982d8273ca89b194497,"Hired a car from Toulouse Airport. On returning the vehicle they refused to examine the car. They are now saying that there is a 2 - 5cm light scuff.
Cost to repair - 550E
Loss of Use - 4 days - 138E Yes 4 days to repair a 2 - 5 cm light scuff
Admin - 72E
Money grubbing racket, I believe because I wouldn't take out their excess cover - I have third party cover.
I will never use them again"
Stephen Kenny,2025-08-14,https://www.trustpilot.com/reviews/689dc0e346f1392491dd23eb,"I am giving this Company a 1 star review, because I cannot give them any less.
I was given a hire 'car' by my insurance company while mine was being repaired. I am nearly 70 and need a car to get around, so when my car went in for some repairs, the repair company stated that their courtesy cars were too small for me, (I am quite tall) Europcar were my insurers choice to give me a suitable car. They contacted me top say that they had not got an SUV as requested, but would give me something as close to an SUV as possible. What they supplied was a 9seater mini bus.
I tried to contact them to explain that the 'car' was not suitable but every time I called, I was constantly put on hold. I even completed their contact us form only for them to send me a standard reply email 2 weeks after the van had been returned. Do not accept anything from this firm unless you are happy with the size of vehicle and the condition. make sure that you take an all round video just in case they try to con you for damage that you have not caused."
Sean,2025-08-13,https://www.trustpilot.com/reviews/689ce5c6f1f90f8dea160e61,CROOKS. Booked in advance but because they wouldnt accept different cards we had we were forced to take out their insurance for the week which was more than the cost of the car hire. We had arranged our own insurance at a tenth of the price but they would not even look at the paperwork. It was late with only a few other companies open and limited availability. When I asked why the insurance was so high they said it was a local insurance company. Never given a policy document just €268 item on the bill. We still had to pay a deposit. Read other reviews and see this is a common scam by them.
Mr Roy Cowley,2025-08-13,https://www.trustpilot.com/reviews/689ca8306036c6657ef115e9,"I arranged a hire of a Luton van and when it turned up the driver noticed someone had stolen the number plate ! They arranged for a LWB van to be delivered and this had a front tyre that was 1/3 bald ! The driver said you can take it to Kwikfit and they will change it for you , as it's our problem we willpay for it ! Oh yeah , sure I'm going to waste a few hours of my time for a problem caused by them. On top of that he said he saw the Luton was missing the number plate the day before , but thought he would keep quiet and not report it to the office !!! Unbelievable .... Then they would not answer the phone at the local depot and I did not get a hire at all ! I wish Trustpilot gave you the option to give a minus score s it would be -5 ! Don't use them is my recommendation."
Paul,2025-08-13,https://www.trustpilot.com/reviews/689c709f69065428ffec708d,"False advertising from Europcar:

I booked an EV for a holiday in Spain. Online booking process says ""full recharge not required"" – but the collection desk argued I must recharge it before returning it.

They finally agreed when I showed them the website, and said they'd make a note on my booking. Obviously my choice was either sign the paperwork and trust them, or leave with no car for my holiday (plus they'd keep my deposit?).

So I had to trust them, and when I got home they invoiced me for recharging the car and took the payment from my credit card.

When I filed a dispute, they just replied saying that's the terms I agreed to when I signed. I keep asking about the false advertising, but they just ignore that question.

Won't use them again as this broke my trust."
Charlotte Paiva,2025-08-13,https://www.trustpilot.com/reviews/689c6cb003cc44163d0e322e,"We returned our car to Izmir Airport on 21/06/25, and as of 13/08/25 are yet to have our €300 security deposit returned.

We have made multiple phone calls and emails to attempt to get this resolved and are yet to hear anything back. We waited 30 working days, as advised, before emailing the Customer Service UK email address on 01/06/25, and only received a NoReply, automated response on 06/08/25 with no real update or additional information regarding our query- it was clear that it was sent automatically and not by a real person.

Europcar are contractually obliged to return this money to us, yet we do not have it- or any correspondence from them about it at all!

We will begin pursuing legal action if we do not hear back or receive our money back by the end of the week.

This is unfortunate because the car itself was lovely and the staff in Turkey very helpful, and the staff who assisted in making the booking were also helpful. We only went with Europcar because we believed them to be reputable, but will not be using them again after this experience.

If Europcar would like to reach out as a response to this review then I would very much welcome it, as all we really want at this point is our money back. I will be happy to provide our booking reference if so."
Alireza,2025-08-14,https://www.trustpilot.com/reviews/689c59e8e0759b5ec04b085d,"Very rude and unprofessional staff in booking process. 9th of July they 9 am they come collect car from may door 12 hours after I received text message from them said apologies for any inconvenience but we couldn't collect your rental vehicle today!!
And 24 hours after with out any notice they sent me invoice for damages front wheel alloy .
When they drop car for me before inspection take signature.
Terrible experience bo recommended them"
Sholade,2025-08-13,https://www.trustpilot.com/reviews/689c4efa5041e797f92a33ba,Booked with europcar paid £276. They cancelled my booking with no explanation. I spoke to them on the phone they said I would receive a full refund with 5-7 days. They then refunded £206.00. I called to request the full refund. Customer service Carlos was obnoxious stating they need to do an investigation that will take 10 days no mention of refund. What investigation is needed all they need to do is look at the data £276 paid by customer and they returned only £206 clearly shown on bank statement. DO NOT USE THEY WILL STEAL YOUR MONEY. There is clearly some fraudulent activity happening in this company.
Duped Norris,2025-08-13,https://www.trustpilot.com/reviews/689c35cb5c8c0d8ef6fa8b12,"I had a prepaid car rental voucher for a predetermined type vehicle through a third-party provider. I went to collect the vehicle from EuropCar Gatwick South Terminal to be told by the female EuroCar employee that the vehicle we ordered was not available. She said “We are giving you a free upgrade”. No mention of cost we would pay etc. because we were told they were GIVING us an upgrade. GIVING! It is my understanding that under law, if the company cannot provide the car ordered (and paid for) they must offer either a free upgrade or a lesser vehicle with a monetary refund, The upgrade was a very luxurious vehicle and I was immediately resistant and anxious and expressed deep concern to her, I was told by the female agent not to worry, the vehicle was at the end of its rental life, it had 50,000 miles on the odometer, which it did, and it was to be disposed of when I returned it. Reluctantly I accepted it. I felt it had been foisted upon me. When I was outside loading the car, the female agent came out and said the car had damaged wheels and I had to sign a form to acknowledge the damage. She presented form with a diagram of the car, both sides, with X marks on the wheels. I now realise she had folded the paper in half so that I couldn’t see what was on the other side. I really thought the shonky, trickster days of car hire had long gone. Boy was I wrong!!!
In hindsight I should have said NO! NO! NO and I should have run away, screaming, and rung the third-party provider and complained, but I didn’t, fool that I am. However, after 26 hours of travel I was exhausted, and yes, I now know I was dimwitted not to spot a scam in the making.
I hated the car from the start. This car wrecked my entire holiday and nearly wrecked me. I was highly anxious when I drove it and it made me quite ill from worry, It was too large and too wide for UK parking spaces. It literally got stuck in the entry to a shopping centre car park. It gave my daughter high level anxiety attacks. I had to try to park it away from other cars because I was terrified they would dent the car’s doors. This car was just too big,and too wide for UK narrow roads, even some A roads were scary and it did things I found hard to accept. It was so technical it was dangerous, simply because it was distracting.
But just as importantly, mechanically it was difficult. When the car started off there were many times when it just didn’t want to change up gears. Leaving Cobham Services, the car wouldn’t change gears at all and I held my breath thinking I would need a tow truck, but eventually it did change up. I am used to driving a Subaru with CVT automatic, but this vehicle had a habit of just stopping and not moving off. It would stop and go into Neutral and once you realised why the car wasn’t moving and what had happened, you had to go through the set process to get it going again. This happened in dangerous places at times like waiting to enter a large roundabout on a 70mph road. A friend suggested I return the car and I jolly well wish I had.
On the day I had to return the car to Gatwick, a yellow message about the tyres appeared on the consol. 8 calls to EuropCar proved useless and so I drove just down the road to the local dealership for the marque. Service personnel said it was ok to drive it back and gave me instructions as to what to do with the gadget in the trunk should tyre pressure deteriorate. And this is how I returned the car.
During the term of the car hire I did check my credit card several times to see if EuropCar had levied the £1500 block for security and I was surprised they had not. I returned the car on 1 August and flew home. The day after I arrived home, I checked my credit card and found that at between the 29 July and 9 August (8 days after I had returned the car) EuropCar had charged me $3,630.06 in my money for the upgrade they told me they were GIVING me because they were unable to supply the car I had ordered and prepaid for. It was then that I remembered the woman who asked me to sign the document acknowledging the damage to the car, and it was then that I realised she had folded the document in half and therefore I could not see what was on the other side-the upgrade charges etc.What a Fool I am
I have lodged a dispute but EuropCarUK is notorious for completely ignoring disputes. I am told that what this woman did could be a criminal offence called Fraudulent Misrepresentation. Some could ask whether she is highly skilled in the dark arts of duplicity and deception? Of course I will not be letting this matter go and others in the travel and insurance industries have been advised. Eventually when I can confidently tell the Citizens Advice Bureau,Trading Standards,Watchdog and Rip-off Britain that EuropCar has done absolutely nothing to resolve my dispute,then I will lodge a dispute with the BVRLA to whom EuropCar belong."
Mrs Bennett,2025-08-12,https://www.trustpilot.com/reviews/689b803541e99048eb465169,Rented a car for 1 week - we landed early and collected the car 40 mins early- was not informed that this would incur and extra days charge - would have waited until the 11am time we had booked if we had been informed. Customer exploitation at its best
Cameron Martin,2025-08-12,https://www.trustpilot.com/reviews/689b67b00fa58a25c203b1d7,"I booked a car for the month of August 25 and needed to make a small correction to the pickup location all other details remained the same - duration timings etc. I notified the customer care department almost immediately to explain the situation. I was subsequently notified that there was nothing they could do with 5 days notice before pickup and that I would either need to pick up the car as per the original booking or lose the rental money 840 pounds. I am on holiday, required the car for the duration of the holiday and was forced to rent another car whilst I contest the problem - simply ridiculous people.
I got no help from customer care, I raised a claim ( complaint) and was told the SLA for turnaround was up to 5 working days. Needless to say no reply to the complaint, it’s like pulling teeth with the zombies in customer care and now need to take them to an arbitration court.
Be very careful folk, this is a company that I have since found out are notorious for this type of thing and other abuses.
Will never touch these clowns again for the sake of my health."
Richard Mcguire,2025-08-12,https://www.trustpilot.com/reviews/689a9bc58b89ffd67f7d791d,What an absolute disgrace of a company . I am disabled and my car went in for repair so Europcar were the insurers choice for rental car . Rang and rang them for hrs for three days constant when this clown place was to arrange a vehicle for me . They rang and left a message seven days after and my car had been repaired and returned . I couldn’t go out while this disgusting company didn’t arrive with my rental . Worse company I’ve ever dealt with and have heard they regularly let disabled drivers down and are rude without any empathy !!!
Laura Hinds,2025-08-11,https://www.trustpilot.com/reviews/689a432d09ed62d8ae0d4c78,"We have had so much trouble with this company we are with Motability and three times we have had issues in the last month just trying to get a courtesy vehicle while our car goes into the garage.
No phone call from them to say they have a vehicle or they don’t just leaving us not knowing what’s going on. Would definitely not recommend if you are in need of a courtesy car or to talk to you just get fobbed off and then the line goes dead when they redirect you or they just don’t answer."
Richard Swift,2025-08-11,https://www.trustpilot.com/reviews/6899b51a1ae7ff4ac3483094,IMPORTANT !!! MAKE SURE CHECK YOU DOUBLE CHECK YOUR FINAL INVOICE AGAINST THE INITIAL PAPERWOK. I was charged for 2 days on my card having actually returned the vehicle same day having booked for 1 full day - this should simply not happen with telemetry data they have...!!!. I did complain on site and email and was 'thanked for my feedback !! ....' THANKED FOR MY FEEDBACK ???????? - no goodwill and a limp apology - DEFINATELY DO NOT RECOMMEND - STEER WELL CLEAR !!!! IM STILL AWAITING MY REFUND ....!!!!! POOLE BRANCH
Gareth,2025-08-11,https://www.trustpilot.com/reviews/6899a1bf930cb65c29e7a45d,Waited around 45 mins to collect from Palma. Charged 76 euros for a scuff to black plastic trim which was pre existing. Note: Europcar require the customer to phone a call centre to report any pre existing damage putting all the onus on the customer to scan the car and spend time during their holiday doing what I believe they should be doing themselves.
Sarah Sheldon,2025-08-09,https://www.trustpilot.com/reviews/689735392b2f989a42d8e1f5,Waited in for car collection which kept being moved with no notification when I said how poor the customer services was the agent at Coventry hung up on me
Deborah,2025-08-08,https://www.trustpilot.com/reviews/6895d7ada0579e1f5540ec21,"We have been waiting at Dublin airport for 2 hours for car and it is still “ being washed” with no exact time as to when it will be ready. Staff friendly but not helpful - they just keep saying it’s other people’s faults for not returning car quick enough and they can’t give us a time frame!!! We have a disabled elderly person with us who needs to eat but staff unconcerned about this as we stand waiting in their crowded office for hours with no cafe anywhere nearby. We also have 4 people waiting in Dublin City for us so we will be missing the first half day of our holiday! I would definitely NOT recommend this company! I am watching people quickly collect their cars from other providers!
I wish I’d read reviews before booking with this company. I will never use again!"
Victoria Gerry,2025-08-08,https://www.trustpilot.com/reviews/6895d6ef04a938fce8d5a2f0,"If I could rate as 0 I would do. Worst experience of any car hire company in my life. Our flight was delayed with Jet2 by 2 hours. They charged us for our flight being late. They checked the car over after the rental period, everything was fine and the employee signed the rental off. A month later we were charged £100 for out of hours, and £100 for our car needing to be cleaned. The Spanish guy we spoke to was like a robot and would not let us speak to a manager or give us a manager's email and only blandly gave us the basic customer services number. Please do not use this car hire firm. They are the worst sort of people to do business with and you could magically have £200 taken from your credit card and be in an utter battle to get it refunded."
Rachel Tidbury,2025-08-08,https://www.trustpilot.com/reviews/6895d1d15045dc7cd04c9c77,"We had to get a car from Eurocar as our mobility car needed to go in for repair. When handed back they charged my card 50 pounds, i disputed it and they said actually we should have been charged 30, still I would debate. I cancelled them taking anymore money from me but every couple of days they are trying to take 30 pounds remembering I have already overpaid and I am awaiting a refund. Customer service hang up now as we would like our refund instead of paying them money, formal complaint don’t reply. Receiving texts saying we owe them money. Been so stressful. I can’t believe the mobility scheme use them. This is a horrible experience. If you would like to feel abused then call Eurocar."
Steve Pountney,2025-08-08,https://www.trustpilot.com/reviews/6895b2427a60db790bf59d64,"Disgusting service from the whole Europcar Team.
Scam organisation that have no regard for their customers.
Do not do business with them under any circumstances, you have been warned.
Add additional products without your knowledge and have no regard for their customers or make any attempt to resolve.
If I could have scored a ZERO I would have done."
Phil M,2025-08-07,https://www.trustpilot.com/reviews/6894dc30b7d973307f0e6779,I had an accident and my insurance company told me europcar would get a car to me. It’s been 5 days and I’m still no closer to getting a car from them. Shameful company they are!
June Wood,2025-08-07,https://www.trustpilot.com/reviews/6894d77c0d3577e4ebafebfa,"We waited 5 days for a car I'm disabled and couldn't get to my appointment at the hospital ,husband could not get to work,we both kept getting chopped off the phone line after 20 minutes ,I don't think they can be bothered we won't use them again still no car they have also tried to give my husband a manual car when he has an automatic license are they thick or what .we won't use them again ever"
Martha Del Rosario,2025-08-07,https://www.trustpilot.com/reviews/689493ee995e73b3f4b88926,"I’m extremely disappointed with Europcar. When I picked up my car at Birmingham Airport, I clearly declined additional protection cover, as I had already purchased my own insurance.
Despite this, I was still charged £281.57 for an extra package I never agreed to. The agent made no effort to explain the charges, and I only realised later when the amount appeared on my invoice.
This feels like a deliberate upsell — especially knowing that staff may be incentivised to add extras. Europcar refused to refund me, so I’ve had to escalate to the BVRLA and my credit card provider.
Avoid unless you're prepared to challenge everything at the desk."
Krzysztof Aszyk,2025-08-07,https://www.trustpilot.com/reviews/68946f8303a9a2d001c7dc20,Not recommend ! Until today i didn’t get deposit back! Poor customer service! Please pay me back my money!
